Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2020-06-16 04:33:22,32.3182,-86.9023,26272,774,13508,11990.0,1,535.8149855655049,302674,2259,2.9461023142509135,84000001,USA,6173.007952993819,8.598507917174178
Arizona,US,2020-06-16 04:33:22,33.7298,-111.4312,36844,1203,6462,29179.0,4,506.18810980012,345257,3750,3.265117793942026,84000004,USA,4743.377163860059,10.178047986103572
Arkansas,US,2020-06-16 04:33:22,34.9697,-92.3731,12917,182,8352,4383.0,5,428.0264722294755,204138,1003,1.4089958968800804,84000005,USA,6764.455213128487,7.764960904234729
California,US,2020-06-16 04:33:22,36.1162,-119.6816,155726,5114,,150612.0,6,394.1210799503738,2868182,,3.2839731322964694,84000006,USA,7258.974014193026,
Colorado,US,2020-06-16 04:33:22,39.0598,-105.3111,29284,1605,4196,23483.0,8,508.5143684308501,249085,5244,5.480808632700451,84000008,USA,4325.3415332809145,17.907389700860538
Florida,US,2020-06-16 04:33:22,27.7663,-81.6868,77326,2938,,74388.0,12,360.02861940250034,1430184,12298,3.799498228280268,84000012,USA,6658.913832495481,15.904094353774926
Georgia,US,2020-06-16 04:33:22,33.0406,-83.6431,58414,2494,,55920.0,13,550.1711667699403,630496,9322,4.269524429075222,84000013,USA,5938.314786930878,15.95850309857226
Illinois,US,2020-06-16 04:33:22,40.3495,-88.9861,133016,6326,,126690.0,17,1049.699171097824,1210473,,4.7558188488602875,84000017,USA,9552.478684792028,
Indiana,US,2020-06-16 04:33:22,39.8494,-86.2583,40430,2433,28744,9253.0,18,600.5449317676682,355829,6451,6.017808558001484,84000018,USA,5285.463827008599,15.955973287162998
Kentucky,US,2020-06-16 04:33:22,37.6681,-84.6701,12647,505,3416,8726.0,21,283.0780139907285,295851,2433,3.993041828101526,84000021,USA,6622.037915487548,19.23776389657626
Michigan,US,2020-06-16 04:33:22,43.3266,-84.5361,66085,6018,44964,15103.0,26,661.7196981993434,824037,,9.10645380948778,84000026,USA,8251.214571311075,
Minnesota,US,2020-06-16 04:33:22,45.6945,-93.9002,30693,1335,26609,2749.0,27,544.2376382005067,422922,3630,4.349525950542469,84000027,USA,7499.106324667992,11.826800899227838
Mississippi,US,2020-06-16 04:33:22,32.7416,-89.6787,19799,895,15323,3581.0,28,665.2556710030311,230503,2680,4.520430324763877,84000028,USA,7745.008734441723,13.536037173594625
Missouri,US,2020-06-16 04:33:22,38.4561,-92.2884,16611,887,,15724.0,29,270.65083288960784,279941,,5.339835049063874,84000029,USA,4561.210331102866,
Ohio,US,2020-06-16 04:33:22,40.3888,-82.7649,41576,2575,,39001.0,39,355.6817890171185,557168,6948,6.19347700596498,84000039,USA,4766.560299766449,16.711564364056187
Oklahoma,US,2020-06-16 04:33:22,35.5653,-96.9289,8417,359,6628,1430.0,40,212.71320916933684,251004,1117,4.26517761672805,84000040,USA,6343.336860441989,13.270761553997861
Texas,US,2020-06-16 04:33:22,31.0545,-97.5635,90211,2001,59089,29121.0,48,311.1166030788994,1314761,,2.218133043642128,84000048,USA,4534.302648020938,
